timestamp,location,precipitation_probability
2026-06-22 10:00,竹北,0
2026-06-22 11:00,竹北,0
2026-06-22 12:00,竹北,0
2026-06-22 13:00,竹北,0
2026-06-22 14:00,竹北,0
2026-06-22 15:00,竹北,0
2026-06-22 16:00,竹北,0
2026-06-22 17:00,竹北,0
2026-06-22 18:00,竹北,0
2026-06-22 19:00,竹北,0
2026-06-22 20:00,竹北,0
2026-06-22 21:00,竹北,0
2026-06-22 22:00,竹北,0
2026-06-22 23:00,竹北,0
2026-06-23 00:00,竹北,0
2026-06-23 04:00,竹北,0
2026-06-23 05:00,竹北,0
2026-06-23 06:00,竹北,0
2026-06-23 07:00,竹北,0
2026-06-23 08:00,竹北,0
2026-06-23 09:00,竹北,0
2026-06-23 10:00,竹北,0
2026-06-23 11:00,竹北,0
2026-06-23 12:00,竹北,0
2026-06-23 13:00,竹北,0
2026-06-23 14:00,竹北,0
2026-06-23 15:00,竹北,3
2026-06-23 16:00,竹北,8
2026-06-23 17:00,竹北,10
2026-06-23 18:00,竹北,8
2026-06-23 19:00,竹北,4
2026-06-23 20:00,竹北,0
2026-06-23 21:00,竹北,1
